"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs7048773-<b>C</b>,"3 x 10-6",,0.557,0.9657,'-,[0.95-0.98],PTBP3,Schizophrenia,schizophrenia,'-,GCST90128471,9:112226388
rs9383997-<b>A</b>,"3 x 10-6",,0.83,0.95562,'-,[0.94-0.97],SYNE1,Schizophrenia,schizophrenia,'-,GCST90128471,6:152487826
rs2042329-<b>T</b>,"3 x 10-6",,0.374,1.03863,'-,[1.02-1.05],CWC27,Schizophrenia,schizophrenia,'-,GCST90128471,5:64771925
rs2583636-<b>G</b>,"3 x 10-6",,0.469,1.03676,'-,[1.02-1.05],"BIN2P1, RNU6-499P",Schizophrenia,schizophrenia,'-,GCST90128471,4:82232026
rs287887-<b>G</b>,"3 x 10-6",,0.576,1.03676,'-,[1.02-1.05],ARID1B,Schizophrenia,schizophrenia,'-,GCST90128471,6:156806504
rs10216270-<b>T</b>,"3 x 10-6",,0.459,0.96667,'-,[0.95-0.98],"NXPH1, GAPDHP68",Schizophrenia,schizophrenia,'-,GCST90128471,7:9547906
rs12713461-<b>T</b>,"3 x 10-6",,0.55,1.03655,'-,[1.02-1.05],"RSL24D1P2, EHBP1",Schizophrenia,schizophrenia,'-,GCST90128471,2:62577192
rs1449850-<b>T</b>,"3 x 10-6",,0.708,1.03884,'-,[1.02-1.05],LINC02008,Schizophrenia,schizophrenia,'-,GCST90128471,3:82367151
rs6695384-<b>G</b>,"3 x 10-6",,0.96,0.90159,'-,[0.86-0.95],"LINC01688, RGS8",Schizophrenia,schizophrenia,'-,GCST90128471,1:182699906
rs303743-<b>T</b>,"3 x 10-6",,0.512,0.9658,'-,[0.95-0.98],"CDCA4P1, NFIB",Schizophrenia,schizophrenia,'-,GCST90128471,9:14492138
rs60007481-<b>G</b>,"3 x 10-6",,0.848,0.95466,'-,[0.94-0.97],MSRA,Schizophrenia,schizophrenia,'-,GCST90128471,8:10227264
rs10931729-<b>T</b>,"3 x 10-6",,0.357,0.96406,'-,[0.95-0.98],HECW2,Schizophrenia,schizophrenia,'-,GCST90128471,2:196192947
rs897612-<b>A</b>,"3 x 10-6",,0.563,1.03583,'-,[1.02-1.05],"SFRP2, DCHS2",Schizophrenia,schizophrenia,'-,GCST90128471,4:153844265
rs9356590-<b>C</b>,"3 x 10-6",,0.767,0.96098,'-,[0.94-0.98],FAM120B,Schizophrenia,schizophrenia,'-,GCST90128471,6:170322315
rs10180540-<b>G</b>,"3 x 10-6",,0.942,1.07476,'-,[1.04-1.11],"EIF2S2P7, ACTG1P22",Schizophrenia,schizophrenia,'-,GCST90128471,2:57722969
rs4888927-<b>G</b>,"3 x 10-6",,0.593,1.03811,'-,[1.02-1.05],WWOX,Schizophrenia,schizophrenia,'-,GCST90128471,16:79104858
rs4974187-<b>T</b>,"3 x 10-6",,0.681,1.03925,'-,[1.02-1.06],ERC2,Schizophrenia,schizophrenia,'-,GCST90128471,3:56236244
rs9385959-<b>T</b>,"3 x 10-6",,0.577,0.96069,'-,[0.94-0.98],"RPS3AP24, RN7SKP106",Schizophrenia,schizophrenia,'-,GCST90128471,6:141423617
rs10978199-<b>A</b>,"9 x 10-7",,0.79,0.95676,'-,[0.94-0.97],"TAL2, TMEM38B",Schizophrenia,schizophrenia,'-,GCST90128471,9:105682537
rs1355585-<b>T</b>,"9 x 10-7",,0.487,1.03624,'-,[1.02-1.05],"RNU6-745P, LINC02205",Schizophrenia,schizophrenia,'-,GCST90128471,15:70294278
rs1026045-<b>C</b>,"9 x 10-7",,0.716,0.96089,'-,[0.95-0.98],SETD7,Schizophrenia,schizophrenia,'-,GCST90128471,4:139569173
rs6662-<b>G</b>,"9 x 10-7",,0.16,0.95209,'-,[0.93-0.97],MRPS33,Schizophrenia,schizophrenia,'-,GCST90128471,7:141006357
rs117131717-<b>C</b>,"1 x 10-6",,0.937,0.92136,'-,[0.89-0.95],HNF1A-AS1,Schizophrenia,schizophrenia,'-,GCST90128471,12:120958379
rs4934609-<b>A</b>,"1 x 10-6",,0.553,0.96416,'-,[0.95-0.98],"NRP1, LINC02628",Schizophrenia,schizophrenia,'-,GCST90128471,10:33568267
rs9285425-<b>G</b>,"1 x 10-6",,0.563,0.96368,'-,[0.95-0.98],DCBLD1,Schizophrenia,schizophrenia,'-,GCST90128471,6:117550673
rs151337176-<b>C</b>,"1 x 10-6",,0.985,0.84156,'-,[0.77-0.91],FAM228B,Schizophrenia,schizophrenia,'-,GCST90128471,2:24144699
rs506325-<b>C</b>,"1 x 10-6",,0.887,1.06354,'-,[1.04-1.09],"ATP5PDP3, RPL3P11",Schizophrenia,schizophrenia,'-,GCST90128471,9:14063720
rs35665782-<b>A</b>,"1 x 10-6",,0.88,1.05622,'-,[1.03-1.08],"SEC16B, LINC01741",Schizophrenia,schizophrenia,'-,GCST90128471,1:177820348
rs7099380-<b>G</b>,"1 x 10-6",,0.429,0.96425,'-,[0.95-0.98],CACNB2,Schizophrenia,schizophrenia,'-,GCST90128471,10:18260087
rs42181-<b>T</b>,"1 x 10-6",,0.901,0.94299,'-,[0.92-0.97],LHFPL3,Schizophrenia,schizophrenia,'-,GCST90128471,7:104432995
rs198547-<b>A</b>,"1 x 10-6",,0.0876,0.93782,'-,[0.91-0.96],CACNA1G,Schizophrenia,schizophrenia,'-,GCST90128471,17:50574450
rs11065394-<b>A</b>,"1 x 10-6",,0.781,1.04352,'-,[1.03-1.06],C12orf43,Schizophrenia,schizophrenia,'-,GCST90128471,12:121009119
rs13218447-<b>G</b>,"1 x 10-6",,0.849,0.94772,'-,[0.93-0.97],SOBP,Schizophrenia,schizophrenia,'-,GCST90128471,6:107544105
rs2019872-<b>C</b>,"1 x 10-6",,0.12,1.05548,'-,[1.03-1.08],SMG6,Schizophrenia,schizophrenia,'-,GCST90128471,17:2107024
rs9884657-<b>T</b>,"1 x 10-6",,0.738,1.04781,'-,[1.03-1.07],STK32B,Schizophrenia,schizophrenia,'-,GCST90128471,4:5341942
rs7171165-<b>T</b>,"1 x 10-6",,0.539,1.03894,'-,[1.02-1.05],"RN7SL363P, FURIN",Schizophrenia,schizophrenia,'-,GCST90128471,15:90860416
rs80196932-<b>T</b>,"1 x 10-6",,0.848,0.9518,'-,[0.93-0.97],"NEPNP, NUS1",Schizophrenia,schizophrenia,'-,GCST90128471,6:117675468
rs1028471-<b>C</b>,"1 x 10-6",,0.888,1.05855,'-,[1.04-1.08],"RNA5SP220, FILNC1",Schizophrenia,schizophrenia,'-,GCST90128471,6:139942004
rs75667841-<b>T</b>,"1 x 10-6",,0.967,0.8927,'-,[0.85-0.94],PRKD1,Schizophrenia,schizophrenia,'-,GCST90128471,14:29874370
rs62121674-<b>T</b>,"1 x 10-6",,0.751,0.95839,'-,[0.94-0.98],GNG7,Schizophrenia,schizophrenia,'-,GCST90128471,19:2519435
rs7157278-<b>G</b>,"1 x 10-6",,0.611,1.03759,'-,[1.02-1.05],SLC8A3,Schizophrenia,schizophrenia,'-,GCST90128471,14:70112375
rs6782581-<b>C</b>,"1 x 10-6",,0.523,1.03655,'-,[1.02-1.05],DLG1,Schizophrenia,schizophrenia,'-,GCST90128471,3:197252235
rs2717737-<b>C</b>,"1 x 10-6",,0.124,1.0558,'-,[1.03-1.08],PSD3,Schizophrenia,schizophrenia,'-,GCST90128471,8:18601833
rs73169104-<b>C</b>,"1 x 10-6",,0.922,1.06876,'-,[1.04-1.1],FRY,Schizophrenia,schizophrenia,'-,GCST90128471,13:32192039
rs6546367-<b>G</b>,"1 x 10-6",,0.537,0.96454,'-,[0.95-0.98],"PPP3R1, CNRIP1",Schizophrenia,schizophrenia,'-,GCST90128471,2:68268111
rs10733465-<b>C</b>,"1 x 10-6",,0.305,1.04154,'-,[1.03-1.06],APTX,Schizophrenia,schizophrenia,'-,GCST90128471,9:32932196
rs11128165-<b>A</b>,"1 x 10-6",,0.471,0.96271,'-,[0.95-0.98],SAMMSON,Schizophrenia,schizophrenia,'-,GCST90128471,3:70150673
rs73242668-<b>C</b>,"1 x 10-6",,0.928,1.07788,'-,[1.05-1.11],IGFBP7-AS1,Schizophrenia,schizophrenia,'-,GCST90128471,4:57164994
rs1452082-<b>C</b>,"1 x 10-6",,0.462,1.038,'-,[1.02-1.05],CADPS,Schizophrenia,schizophrenia,'-,GCST90128471,3:62479364
rs12670079-<b>A</b>,"1 x 10-6",,0.597,0.96454,'-,[0.95-0.98],SOSTDC1,Schizophrenia,schizophrenia,'-,GCST90128471,7:16525715
rs146732081-<b>C</b>,"1 x 10-6",,0.984,1.22324,'-,[1.14-1.3],DHRS4-AS1,Schizophrenia,schizophrenia,'-,GCST90128471,14:23944946
rs2868131-<b>A</b>,"1 x 10-6",,0.816,1.05496,'-,[1.03-1.08],"PRKG2, BMP3",Schizophrenia,schizophrenia,'-,GCST90128471,4:81087132
rs12145726-<b>G</b>,"1 x 10-6",,0.471,1.03769,'-,[1.02-1.05],"NGF, NGF-AS1",Schizophrenia,schizophrenia,'-,GCST90128471,1:115314630
rs75907840-<b>T</b>,"1 x 10-6",,0.848,1.05781,'-,[1.04-1.08],SOX2-OT,Schizophrenia,schizophrenia,'-,GCST90128471,3:181702392
rs9722669-<b>A</b>,"1 x 10-6",,0.962,0.90756,'-,[0.87-0.95],RFX3,Schizophrenia,schizophrenia,'-,GCST90128471,9:3313962
rs71326324-<b>C</b>,"1 x 10-6",,0.86,1.05232,'-,[1.03-1.07],PCNT,Schizophrenia,schizophrenia,'-,GCST90128471,21:46361283
rs6661192-<b>A</b>,"1 x 10-6",,0.756,0.96098,'-,[0.94-0.98],NFASC,Schizophrenia,schizophrenia,'-,GCST90128471,1:205002285
rs8024932-<b>T</b>,"1 x 10-6",,0.845,0.94961,'-,[0.93-0.97],LINGO1,Schizophrenia,schizophrenia,'-,GCST90128471,15:77622940
rs1935957-<b>T</b>,"1 x 10-6",,0.046,1.08926,'-,[1.05-1.12],FOXO3,Schizophrenia,schizophrenia,'-,GCST90128471,6:108627138
rs34073963-<b>G</b>,"1 x 10-6",,0.963,1.11416,'-,[1.07-1.16],LRP1,Schizophrenia,schizophrenia,'-,GCST90128471,12:57138147
rs1892928-<b>T</b>,"1 x 10-6",,0.65,1.03852,'-,[1.02-1.05],SYT12,Schizophrenia,schizophrenia,'-,GCST90128471,11:67026637
rs148032218-<b>G</b>,"1 x 10-6",,0.975,0.88259,'-,[0.83-0.93],"KRT8P31, DEPDC1B",Schizophrenia,schizophrenia,'-,GCST90128471,5:60723666
rs56360307-<b>T</b>,"1 x 10-6",,0.656,1.03904,'-,[1.02-1.05],LINC00923,Schizophrenia,schizophrenia,'-,GCST90128471,15:97738880
rs9700051-<b>A</b>,"1 x 10-6",,0.484,0.96512,'-,[0.95-0.98],SRRM1,Schizophrenia,schizophrenia,'-,GCST90128471,1:24633425
rs113463397-<b>T</b>,"1 x 10-6",,0.786,0.95849,'-,[0.94-0.98],"RNA5SP41, PRDM2",Schizophrenia,schizophrenia,'-,GCST90128471,1:13691231
rs2350155-<b>A</b>,"1 x 10-6",,0.713,0.96069,'-,[0.94-0.98],"GAPDHP68, NXPH1",Schizophrenia,schizophrenia,'-,GCST90128471,7:8937139
rs12348063-<b>A</b>,"1 x 10-6",,0.86,0.94904,'-,[0.93-0.97],APBA1,Schizophrenia,schizophrenia,'-,GCST90128471,9:69499128
rs17679920-<b>C</b>,"1 x 10-6",,0.791,1.04844,'-,[1.03-1.07],SLC25A48,Schizophrenia,schizophrenia,'-,GCST90128471,5:135687103
rs6688315-<b>G</b>,"2 x 10-6",,0.515,1.03562,'-,[1.02-1.05],PLXNA2,Schizophrenia,schizophrenia,'-,GCST90128471,1:208132452
rs1944717-<b>G</b>,"2 x 10-6",,0.336,1.038,'-,[1.02-1.05],"RNU6-544P, TENM4",Schizophrenia,schizophrenia,'-,GCST90128471,11:79551074
rs940399-<b>G</b>,"2 x 10-6",,0.188,0.95542,'-,[0.94-0.97],LINC00862,Schizophrenia,schizophrenia,'-,GCST90128471,1:200300085
rs8059548-<b>T</b>,"2 x 10-6",,0.574,0.96387,'-,[0.95-0.98],RBFOX1,Schizophrenia,schizophrenia,'-,GCST90128471,16:7488250
rs62065460-<b>A</b>,"2 x 10-6",,0.627,1.03842,'-,[1.02-1.05],"PSMD11, ZNF207",Schizophrenia,schizophrenia,'-,GCST90128471,17:32387988
rs77082067-<b>T</b>,"2 x 10-6",,0.498,0.9657,'-,[0.95-0.98],CACNB2,Schizophrenia,schizophrenia,'-,GCST90128471,10:18537290
rs800887-<b>A</b>,"2 x 10-6",,0.584,1.0379,'-,[1.02-1.05],TRPS1,Schizophrenia,schizophrenia,'-,GCST90128471,8:115455854
rs5749696-<b>T</b>,"2 x 10-6",,0.429,0.96483,'-,[0.95-0.98],YPEL1,Schizophrenia,schizophrenia,'-,GCST90128471,22:21709048
rs73891238-<b>C</b>,"2 x 10-6",,0.769,0.95849,'-,[0.94-0.98],UBXN7,Schizophrenia,schizophrenia,'-,GCST90128471,3:196431257
rs35564002-<b>C</b>,"2 x 10-6",,0.985,0.84215,'-,[0.77-0.91],"ANK2, ANK2-AS1",Schizophrenia,schizophrenia,'-,GCST90128471,4:113059651
rs56062431-<b>G</b>,"2 x 10-6",,0.907,0.93988,'-,[0.91-0.97],"ISCA1P3, KIF2B",Schizophrenia,schizophrenia,'-,GCST90128471,17:54054279
rs35949251-<b>C</b>,"2 x 10-6",,0.616,1.03697,'-,[1.02-1.05],JMJD6,Schizophrenia,schizophrenia,'-,GCST90128471,17:76717765
rs4949070-<b>C</b>,"2 x 10-6",,0.687,1.03842,'-,[1.02-1.05],"PPIAP48, LINC02165",Schizophrenia,schizophrenia,'-,GCST90128471,16:64299285
rs34140486-<b>G</b>,"2 x 10-6",,0.468,0.96223,'-,[0.95-0.98],"ZFAND6, FAH",Schizophrenia,schizophrenia,'-,GCST90128471,15:80141494
rs6760964-<b>C</b>,"2 x 10-6",,0.592,0.96522,'-,[0.95-0.98],"NOTO, RAB11FIP5",Schizophrenia,schizophrenia,'-,GCST90128471,2:73160258
rs28416291-<b>A</b>,"2 x 10-6",,0.79,0.95581,'-,[0.94-0.97],CSMD1,Schizophrenia,schizophrenia,'-,GCST90128471,8:3221209
rs12457981-<b>G</b>,"2 x 10-6",,0.928,0.92284,'-,[0.89-0.96],"PMAIP1, NFE2L3P1",Schizophrenia,schizophrenia,'-,GCST90128471,18:59964296
rs1286665-<b>C</b>,"2 x 10-6",,0.665,0.963,'-,[0.95-0.98],RARB,Schizophrenia,schizophrenia,'-,GCST90128471,3:25534184
rs7932043-<b>G</b>,"2 x 10-6",,0.483,0.96532,'-,[0.95-0.98],ABCC8,Schizophrenia,schizophrenia,'-,GCST90128471,11:17447065
rs12900331-<b>T</b>,"2 x 10-6",,0.642,0.96262,'-,[0.95-0.98],MYO1E,Schizophrenia,schizophrenia,'-,GCST90128471,15:59139563
rs6589380-<b>G</b>,"2 x 10-6",,0.088,1.06301,'-,[1.04-1.09],"DRD2, TMPRSS5",Schizophrenia,schizophrenia,'-,GCST90128471,11:113508182
rs111935968-<b>C</b>,"2 x 10-6",,0.833,0.95562,'-,[0.94-0.97],"SCYGR1, MIR5703",Schizophrenia,schizophrenia,'-,GCST90128471,2:227410907
rs62442910-<b>T</b>,"2 x 10-6",,0.781,0.95877,'-,[0.94-0.98],MAD1L1,Schizophrenia,schizophrenia,'-,GCST90128471,7:1929497
rs13085568-<b>C</b>,"2 x 10-6",,0.593,0.96503,'-,[0.95-0.98],LPP,Schizophrenia,schizophrenia,'-,GCST90128471,3:188478994
rs514130-<b>C</b>,"2 x 10-6",,0.606,0.96435,'-,[0.95-0.98],"GRIK3, FTLP18",Schizophrenia,schizophrenia,'-,GCST90128471,1:36697531
rs6538539-<b>G</b>,"3 x 10-10",,0.468,1.04697,'-,[1.03-1.06],"TMCC3, KRT19P2",Schizophrenia,schizophrenia,'-,GCST90128471,12:94801517
rs1454606-<b>C</b>,"3 x 10-10",,0.781,0.93876,'-,[0.92-0.96],"MAPRE1P2, LINC02484",Schizophrenia,schizophrenia,'-,GCST90128471,4:33640992
rs11076631-<b>A</b>,"3 x 10-10",,0.498,1.05253,'-,[1.04-1.07],FANCA,Schizophrenia,schizophrenia,'-,GCST90128471,16:89811567
rs708228-<b>C</b>,"3 x 10-10",,0.734,0.95009,'-,[0.93-0.97],CTNND1,Schizophrenia,schizophrenia,'-,GCST90128471,11:57818190
rs61952922-<b>A</b>,"3 x 10-10",,0.515,0.95476,'-,[0.94-0.97],MLXIP,Schizophrenia,schizophrenia,'-,GCST90128471,12:122082669
rs75329315-<b>T</b>,"3 x 10-10",,0.891,1.08383,'-,[1.06-1.11],"YWHAE, TRARG1",Schizophrenia,schizophrenia,'-,GCST90128471,17:1342148
rs77622099-<b>G</b>,"3 x 10-10",,0.928,0.91668,'-,[0.89-0.94],VRK2,Schizophrenia,schizophrenia,'-,GCST90128471,2:57990209
rs1924378-<b>T</b>,"3 x 10-10",,0.487,1.04854,'-,[1.03-1.06],TRPC4,Schizophrenia,schizophrenia,'-,GCST90128471,13:37787607
rs6471815-<b>A</b>,"3 x 10-10",,0.363,1.04791,'-,[1.03-1.06],"SLC2A13P1, RNA5SP267",Schizophrenia,schizophrenia,'-,GCST90128471,8:59786236
rs2387414-<b>G</b>,"4 x 10-10",,0.424,0.95151,'-,[0.94-0.97],LRRC4B,Schizophrenia,schizophrenia,'-,GCST90128471,19:50530986
rs645383-<b>C</b>,"4 x 10-10",,0.808,1.07347,'-,[1.05-1.1],AGO1,Schizophrenia,schizophrenia,'-,GCST90128471,1:35908222
rs10086619-<b>A</b>,"4 x 10-10",,0.826,0.94158,'-,[0.92-0.96],"RPSAP48, NDUFB9P3",Schizophrenia,schizophrenia,'-,GCST90128471,8:110568341
rs6588168-<b>C</b>,"4 x 10-10",,0.485,0.95504,'-,[0.94-0.97],PDE4B,Schizophrenia,schizophrenia,'-,GCST90128471,1:65858435
rs17571951-<b>T</b>,"4 x 10-10",,0.809,0.93913,'-,[0.92-0.96],"RNU11-5P, PRKD1",Schizophrenia,schizophrenia,'-,GCST90128471,14:29547833
rs115037896-<b>A</b>,"5 x 10-10",,0.48,1.05001,'-,[1.03-1.07],"HCN1, EMB",Schizophrenia,schizophrenia,'-,GCST90128471,5:50249235
rs11209828-<b>A</b>,"5 x 10-10",,0.597,1.04823,'-,[1.03-1.06],NEGR1,Schizophrenia,schizophrenia,'-,GCST90128471,1:71710017
rs6504163-<b>C</b>,"5 x 10-10",,0.342,0.95247,'-,[0.94-0.97],"PPIAP55, CYB561",Schizophrenia,schizophrenia,'-,GCST90128471,17:63468418
rs246024-<b>C</b>,"5 x 10-10",,0.453,1.04624,'-,[1.03-1.06],"PCDHA8, PCDHA5, PCDHA13, PCDHA11, PCDHA2, PCDHAC1, PCDHA1, PCDHA12, PCDHA9, PCDHA4, PCDHA7, PCDHA6, PCDHA3, PCDHA10",Schizophrenia,schizophrenia,'-,GCST90128471,5:140954367
rs167924-<b>A</b>,"5 x 10-10",,0.36,0.94971,'-,[0.93-0.97],BBX,Schizophrenia,schizophrenia,'-,GCST90128471,3:107660990
rs72986630-<b>C</b>,"6 x 10-10",,0.946,0.8996,'-,[0.87-0.93],ZNF823,Schizophrenia,schizophrenia,'-,GCST90128471,19:11738921
rs7699241-<b>C</b>,"6 x 10-10",,0.887,0.93016,'-,[0.91-0.95],KLHL2,Schizophrenia,schizophrenia,'-,GCST90128471,4:165283337
rs62152282-<b>A</b>,"6 x 10-10",,0.786,0.94374,'-,[0.93-0.96],"LINC01965, AHCYP3",Schizophrenia,schizophrenia,'-,GCST90128471,2:104365291
rs39967-<b>T</b>,"6 x 10-10",,0.144,0.93838,'-,[0.92-0.96],"PLK2, PGAM1P1",Schizophrenia,schizophrenia,'-,GCST90128471,5:58448961
rs815609-<b>A</b>,"6 x 10-10",,0.457,0.95047,'-,[0.93-0.97],MFAP3,Schizophrenia,schizophrenia,'-,GCST90128471,5:154137341
rs7900775-<b>T</b>,"6 x 10-10",,0.33,1.0497,'-,[1.03-1.06],SORCS3,Schizophrenia,schizophrenia,'-,GCST90128471,10:104840585
rs61828917-<b>C</b>,"6 x 10-10",,0.869,1.06855,'-,[1.05-1.09],ANKRD45,Schizophrenia,schizophrenia,'-,GCST90128471,1:173611164
rs2944821-<b>G</b>,"6 x 10-10",,0.632,1.04833,'-,[1.03-1.06],CALN1,Schizophrenia,schizophrenia,'-,GCST90128471,7:72331013
rs5961395-<b>C</b>,"6 x 10-10",,0.392,1.03977,'-,[1.03-1.05],NLGN4X,Schizophrenia,schizophrenia,'-,GCST90128471,X:5994862
rs6461561-<b>C</b>,"7 x 10-10",,0.248,1.0539,'-,[1.04-1.07],SP4,Schizophrenia,schizophrenia,'-,GCST90128471,7:21434992
rs79212538-<b>G</b>,"7 x 10-10",,0.961,0.88843,'-,[0.85-0.93],"NMUR2, LINC01470",Schizophrenia,schizophrenia,'-,GCST90128471,5:152613544
rs16940992-<b>A</b>,"7 x 10-10",,0.842,1.06791,'-,[1.05-1.09],"PPP1CC, RPL29P25",Schizophrenia,schizophrenia,'-,GCST90128471,12:110769710
rs61857878-<b>A</b>,"7 x 10-10",,0.797,1.0595,'-,[1.04-1.08],"LINC00502, RNU6-740P",Schizophrenia,schizophrenia,'-,GCST90128471,10:91029731
rs13233308-<b>C</b>,"8 x 10-10",,0.556,1.04624,'-,[1.03-1.06],ABCB1,Schizophrenia,schizophrenia,'-,GCST90128471,7:87615644
rs8134737-<b>A</b>,"8 x 10-10",,0.524,0.95523,'-,[0.94-0.97],"NRIP1, CYCSP42",Schizophrenia,schizophrenia,'-,GCST90128471,21:15067644
rs2649999-<b>T</b>,"9 x 10-10",,0.349,1.04938,'-,[1.03-1.06],HNF1A-AS1,Schizophrenia,schizophrenia,'-,GCST90128471,12:120942741
rs8048039-<b>A</b>,"9 x 10-10",,0.393,1.04991,'-,[1.03-1.07],DNAJA3,Schizophrenia,schizophrenia,'-,GCST90128471,16:4448485
rs10148671-<b>T</b>,"9 x 10-10",,0.456,0.95371,'-,[0.94-0.97],LINC02326,Schizophrenia,schizophrenia,'-,GCST90128471,14:29000167
rs28454198-<b>G</b>,"1 x 10-9",,0.55,1.04728,'-,[1.03-1.06],"LINC01088, NAA11",Schizophrenia,schizophrenia,'-,GCST90128471,4:79282847
rs1545660-<b>A</b>,"1 x 10-9",,0.249,1.05485,'-,[1.04-1.07],LINC00558,Schizophrenia,schizophrenia,'-,GCST90128471,13:53877489
rs61789527-<b>G</b>,"1 x 10-9",,0.81,0.9463,'-,[0.93-0.96],"RPL7P9, RN7SKP270",Schizophrenia,schizophrenia,'-,GCST90128471,1:96680491
rs252812-<b>A</b>,"1 x 10-9",,0.213,1.05601,'-,[1.04-1.07],EFNA5,Schizophrenia,schizophrenia,'-,GCST90128471,5:107399789
rs6925079-<b>T</b>,"1 x 10-9",,0.642,0.95504,'-,[0.94-0.97],EYS,Schizophrenia,schizophrenia,'-,GCST90128471,6:64236418
rs10906984-<b>A</b>,"1 x 10-9",,0.392,1.04645,'-,[1.03-1.06],AP3B2,Schizophrenia,schizophrenia,'-,GCST90128471,15:82697544
rs10985811-<b>T</b>,"1 x 10-9",,0.791,0.94582,'-,[0.93-0.96],GABBR2,Schizophrenia,schizophrenia,'-,GCST90128471,9:98308205
rs9896486-<b>T</b>,"1 x 10-9",,0.393,1.04697,'-,[1.03-1.06],YWHAE,Schizophrenia,schizophrenia,'-,GCST90128471,17:1349549
rs1856507-<b>C</b>,"1 x 10-9",,0.653,1.04749,'-,[1.03-1.06],"RIMS1, KCNQ5-DT",Schizophrenia,schizophrenia,'-,GCST90128471,6:72448224
rs2119242-<b>G</b>,"1 x 10-9",,0.848,0.94045,'-,[0.92-0.96],NEBL,Schizophrenia,schizophrenia,'-,GCST90128471,10:21055844
rs1589726-<b>C</b>,"1 x 10-9",,0.105,1.07735,'-,[1.05-1.1],"RNA5SP234, GNAI1",Schizophrenia,schizophrenia,'-,GCST90128471,7:79718885
rs578470-<b>T</b>,"1 x 10-9",,0.631,0.95418,'-,[0.94-0.97],ASIC1,Schizophrenia,schizophrenia,'-,GCST90128471,12:50069542
rs12442456-<b>G</b>,"1 x 10-9",,0.835,1.0662,'-,[1.05-1.09],IREB2,Schizophrenia,schizophrenia,'-,GCST90128471,15:78459620
rs12521434-<b>C</b>,"4 x 10-8",,0.826,0.94308,'-,[0.92-0.96],LINC02057,Schizophrenia,schizophrenia,'-,GCST90128471,5:61253132
rs4923457-<b>A</b>,"4 x 10-8",,0.763,1.04875,'-,[1.03-1.07],"LINC00678, BDNF-AS",Schizophrenia,schizophrenia,'-,GCST90128471,11:27627033
rs1319017-<b>G</b>,"4 x 10-8",,0.584,0.95782,'-,[0.94-0.97],"MTCO3P40, DDX10P2",Schizophrenia,schizophrenia,'-,GCST90128471,9:82121388
rs11685270-<b>T</b>,"4 x 10-8",,0.493,1.04112,'-,[1.03-1.06],"SLC44A3P1, PCGEM1",Schizophrenia,schizophrenia,'-,GCST90128471,2:193060916
rs35026989-<b>T</b>,"4 x 10-8",,0.806,0.94819,'-,[0.93-0.97],"CBX3P6, RNU6-1001P",Schizophrenia,schizophrenia,'-,GCST90128471,2:155064774
rs17454419-<b>C</b>,"4 x 10-8",,0.968,0.88012,'-,[0.83-0.93],ZDHHC5,Schizophrenia,schizophrenia,'-,GCST90128471,11:57681021
rs61838368-<b>C</b>,"4 x 10-8",,0.837,0.94753,'-,[0.93-0.97],LINC00624,Schizophrenia,schizophrenia,'-,GCST90128471,1:147492170
rs221902-<b>G</b>,"4 x 10-8",,0.398,1.04164,'-,[1.03-1.06],"PCNX1, SIPA1L1-AS1",Schizophrenia,schizophrenia,'-,GCST90128471,14:71134362
rs76365544-<b>G</b>,"5 x 10-8",,0.977,1.19602,'-,[1.13-1.26],EFCAB6,Schizophrenia,schizophrenia,'-,GCST90128471,22:43750399
rs2189336-<b>G</b>,"5 x 10-8",,0.407,1.04477,'-,[1.03-1.06],RPAIN,Schizophrenia,schizophrenia,'-,GCST90128471,17:5422842
rs77174383-<b>T</b>,"5 x 10-8",,0.878,0.9429,'-,[0.92-0.96],"U3, LARS2",Schizophrenia,schizophrenia,'-,GCST90128471,3:45276079
rs982012-<b>G</b>,"5 x 10-8",,0.369,0.95762,'-,[0.94-0.97],"MAP9, NPY2R",Schizophrenia,schizophrenia,'-,GCST90128471,4:155296326
rs3923569-<b>T</b>,"5 x 10-8",,0.322,0.95849,'-,[0.94-0.97],GALNT17,Schizophrenia,schizophrenia,'-,GCST90128471,7:71303731
rs7225476-<b>G</b>,"5 x 10-8",,0.457,0.96117,'-,[0.95-0.98],RPTOR,Schizophrenia,schizophrenia,'-,GCST90128471,17:80587803
rs67781210-<b>A</b>,"5 x 10-8",,0.712,0.95523,'-,[0.94-0.97],"TLCD4-RWDD3, TLCD4",Schizophrenia,schizophrenia,'-,GCST90128471,1:95154862
rs10777341-<b>A</b>,"5 x 10-8",,0.386,0.95916,'-,[0.94-0.97],"LINC02404, LINC02823",Schizophrenia,schizophrenia,'-,GCST90128471,12:91863042
rs12514660-<b>G</b>,"5 x 10-8",,0.356,0.95762,'-,[0.94-0.97],NT5ELP,Schizophrenia,schizophrenia,'-,GCST90128471,5:64432139
rs71323641-<b>T</b>,"5 x 10-8",,0.898,1.06791,'-,[1.04-1.09],CTDSPL,Schizophrenia,schizophrenia,'-,GCST90128471,3:37911051
rs9459170-<b>T</b>,"5 x 10-8",,0.786,1.05096,'-,[1.03-1.07],"C6orf118, RN7SL366P",Schizophrenia,schizophrenia,'-,GCST90128471,6:164640402
