"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs4550806-<b>?</b>,"4 x 10-6",,NR,'-,"0.0984 unit increase",[0.056-0.14],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151496071
rs4569636-<b>?</b>,"1 x 10-6",,NR,'-,"0.1013 unit decrease",[0.06-0.142],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151496261
rs76874872-<b>?</b>,"2 x 10-6",,NR,'-,"0.1038 unit increase",[0.061-0.147],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151497761
rs78846800-<b>?</b>,"6 x 10-7",,NR,'-,"0.1056 unit decrease",[0.064-0.147],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151497851
rs76789750-<b>?</b>,"6 x 10-7",,NR,'-,"0.1056 unit decrease",[0.064-0.147],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151497852
rs75993280-<b>?</b>,"2 x 10-6",,NR,'-,"0.1008 unit decrease",[0.06-0.142],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151497854
rs7633609-<b>?</b>,"2 x 10-6",,NR,'-,"0.1009 unit increase",[0.06-0.142],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151498087
rs7612253-<b>?</b>,"3 x 10-6",,NR,'-,"0.0987 unit decrease",[0.058-0.14],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151498507
rs7633999-<b>?</b>,"3 x 10-6",,NR,'-,"0.0988 unit increase",[0.058-0.14],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151498511
rs9880648-<b>?</b>,"8 x 10-7",,NR,'-,"0.1002 unit decrease",[0.06-0.14],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151498692
rs7615314-<b>?</b>,"7 x 10-7",,NR,'-,"0.1001 unit decrease",[0.061-0.14],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151499521
rs7637276-<b>?</b>,"8 x 10-7",,NR,'-,"0.1001 unit increase",[0.061-0.14],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151499645
rs7629176-<b>?</b>,"1 x 10-6",,NR,'-,"0.0984 unit increase",[0.059-0.138],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151499717
rs140418671-<b>?</b>,"5 x 10-7",,NR,'-,"0.1166 unit increase",[0.071-0.162],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151500325
rs9816549-<b>?</b>,"8 x 10-7",,NR,'-,"0.0997 unit decrease",[0.06-0.139],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151500950
rs9840578-<b>?</b>,"5 x 10-6",,NR,'-,"0.0974 unit increase",[0.056-0.139],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151501353
rs35867811-<b>?</b>,"3 x 10-7",,NR,'-,"0.1189 unit increase",[0.073-0.165],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151501457
rs9821160-<b>?</b>,"4 x 10-6",,NR,'-,"0.0985 unit decrease",[0.057-0.14],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151501481
rs9821181-<b>?</b>,"8 x 10-7",,NR,'-,"0.0994 unit decrease",[0.06-0.139],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151501543
rs9841068-<b>?</b>,"6 x 10-7",,NR,'-,"0.0928 unit decrease",[0.056-0.129],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151501576
rs7623843-<b>?</b>,"6 x 10-7",,NR,'-,"0.0929 unit decrease",[0.056-0.129],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151501827
rs4679846-<b>?</b>,"7 x 10-7",,NR,'-,"0.1003 unit decrease",[0.061-0.14],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151502118
rs4679847-<b>?</b>,"8 x 10-7",,NR,'-,"0.0993 unit decrease",[0.06-0.139],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151502169
rs4680484-<b>?</b>,"7 x 10-7",,NR,'-,"0.0998 unit decrease",[0.06-0.139],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151502275
rs4679848-<b>?</b>,"7 x 10-7",,NR,'-,"0.0924 unit increase",[0.056-0.129],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151502398
rs4550807-<b>?</b>,"6 x 10-7",,NR,'-,"0.1004 unit increase",[0.061-0.14],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151503136
rs4339091-<b>?</b>,"7 x 10-7",,NR,'-,"0.1002 unit decrease",[0.061-0.14],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151503453
rs4532110-<b>?</b>,"7 x 10-7",,NR,'-,"0.1002 unit decrease",[0.061-0.14],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151503621
rs4583622-<b>?</b>,"5 x 10-7",,NR,'-,"0.0934 unit increase",[0.057-0.13],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151503965
rs4402912-<b>?</b>,"5 x 10-7",,NR,'-,"0.0933 unit decrease",[0.057-0.13],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151504153
rs4266168-<b>?</b>,"9 x 10-7",,NR,'-,"0.099 unit increase",[0.059-0.139],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151504474
rs4234326-<b>?</b>,"5 x 10-7",,NR,'-,"0.0934 unit decrease",[0.057-0.13],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151504554
rs4234327-<b>?</b>,"6 x 10-7",,NR,'-,"0.0933 unit increase",[0.057-0.13],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151504576
rs4990608-<b>?</b>,"1 x 10-6",,NR,'-,"0.101 unit increase",[0.06-0.142],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151504653
rs4990607-<b>?</b>,"1 x 10-6",,NR,'-,"0.1012 unit decrease",[0.06-0.142],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151504654
rs4990606-<b>?</b>,"1 x 10-6",,NR,'-,"0.1011 unit decrease",[0.06-0.142],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151504657
rs4990605-<b>?</b>,"2 x 10-6",,NR,'-,"0.1009 unit increase",[0.06-0.142],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151504658
rs9289848-<b>?</b>,"7 x 10-7",,NR,'-,"0.1008 unit increase",[0.061-0.141],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151504899
rs4680487-<b>?</b>,"6 x 10-7",,NR,'-,"0.0933 unit decrease",[0.057-0.13],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151505080
rs9879326-<b>?</b>,"6 x 10-7",,NR,'-,"0.0929 unit increase",[0.056-0.13],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151505249
rs9841913-<b>?</b>,"7 x 10-6",,NR,'-,"0.0962 unit decrease",[0.054-0.138],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151505267
rs7617483-<b>?</b>,"6 x 10-7",,NR,'-,"0.0933 unit decrease",[0.057-0.13],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151505528
rs4273348-<b>?</b>,"5 x 10-7",,NR,'-,"0.0936 unit decrease",[0.057-0.13],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151505644
rs4273349-<b>?</b>,"2 x 10-6",,NR,'-,"0.0922 unit increase",[0.054-0.13],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151505718
rs4273350-<b>?</b>,"2 x 10-6",,NR,'-,"0.0922 unit decrease",[0.054-0.13],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151505719
rs4256104-<b>?</b>,"6 x 10-7",,NR,'-,"0.0933 unit decrease",[0.057-0.13],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151505765
rs4257516-<b>?</b>,"2 x 10-6",,NR,'-,"0.0992 unit decrease",[0.058-0.14],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151505982
rs6440757-<b>?</b>,"2 x 10-6",,NR,'-,"0.1011 unit increase",[0.06-0.142],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151506011
rs4280614-<b>?</b>,"8 x 10-7",,NR,'-,"0.1 unit increase",[0.06-0.14],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151506106
rs4280615-<b>?</b>,"8 x 10-7",,NR,'-,"0.1 unit decrease",[0.06-0.14],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151506192
rs4605516-<b>?</b>,"8 x 10-7",,NR,'-,"0.1 unit increase",[0.06-0.14],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151506445
rs6786901-<b>?</b>,"9 x 10-7",,NR,'-,"0.0998 unit increase",[0.06-0.14],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151506500
rs7622835-<b>?</b>,"8 x 10-7",,NR,'-,"0.0998 unit decrease",[0.06-0.14],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151506720
rs4234328-<b>?</b>,"8 x 10-7",,NR,'-,"0.0998 unit decrease",[0.06-0.14],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151506827
rs4234329-<b>?</b>,"8 x 10-7",,NR,'-,"0.1004 unit increase",[0.06-0.14],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151507333
rs9825219-<b>?</b>,"8 x 10-7",,NR,'-,"0.1005 unit decrease",[0.061-0.14],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151507584
rs9829893-<b>?</b>,"8 x 10-7",,NR,'-,"0.1005 unit decrease",[0.061-0.14],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151508436
rs4296568-<b>?</b>,"6 x 10-6",,NR,'-,"0.0972 unit decrease",[0.055-0.139],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151508953
rs6440761-<b>?</b>,"6 x 10-6",,NR,'-,"0.0971 unit increase",[0.055-0.139],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151509832
rs6800745-<b>?</b>,"3 x 10-6",,NR,'-,"0.103 unit increase",[0.06-0.146],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151510557
rs143859022-<b>?</b>,"5 x 10-6",,NR,'-,"0.0985 unit decrease",[0.056-0.141],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151511187
rs7613815-<b>?</b>,"9 x 10-7",,NR,'-,"0.1009 unit increase",[0.061-0.141],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151511363
rs116213600-<b>?</b>,"5 x 10-6",,NR,'-,"0.095 unit increase",[0.054-0.136],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151512482
rs6806954-<b>?</b>,"4 x 10-6",,NR,'-,"0.1022 unit increase",[0.058-0.146],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151514118
rs76170028-<b>?</b>,"5 x 10-6",,NR,'-,"0.099 unit increase",[0.057-0.141],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151515070
rs9867936-<b>?</b>,"5 x 10-6",,NR,'-,"0.0959 unit decrease",[0.055-0.137],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151515905
rs6789689-<b>?</b>,"8 x 10-6",,NR,'-,"0.0964 unit increase",[0.054-0.139],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151515953
rs12496241-<b>?</b>,"7 x 10-6",,NR,'-,"0.0948 unit increase",[0.053-0.136],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151516710
rs9812692-<b>?</b>,"4 x 10-6",,NR,'-,"0.0969 unit increase",[0.056-0.138],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151517908
rs4475011-<b>?</b>,"7 x 10-6",,NR,'-,"0.0989 unit decrease",[0.056-0.142],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151526927
rs9349379-<b>?</b>,"1 x 10-8",,NR,'-,"0.09 unit decrease",[0.059-0.121],PHACTR1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,6:12903725
rs76705783-<b>?</b>,"7 x 10-7",,NR,'-,"0.2054 unit increase",[0.12-0.29],LINC02848,"Coronary artery disease","coronary artery disease",'-,GCST90132303,7:63916338
rs76109262-<b>?</b>,"3 x 10-6",,NR,'-,"0.1824 unit increase",[0.11-0.26],"VN1R36P, ZNF722P","Coronary artery disease","coronary artery disease",'-,GCST90132303,7:63980451
rs11520658-<b>?</b>,"2 x 10-7",,NR,'-,"0.2149 unit decrease",[0.13-0.3],"ZNF727, LINC01005","Coronary artery disease","coronary artery disease",'-,GCST90132303,7:64042251
rs111579791-<b>?</b>,"2 x 10-7",,NR,'-,"0.215 unit increase",[0.13-0.3],"ZNF727, LINC01005","Coronary artery disease","coronary artery disease",'-,GCST90132303,7:64043020
rs74516007-<b>?</b>,"2 x 10-7",,NR,'-,"0.2136 unit increase",[0.13-0.29],ZNF727,"Coronary artery disease","coronary artery disease",'-,GCST90132303,7:64048176
rs80192788-<b>?</b>,"4 x 10-6",,NR,'-,"0.1938 unit increase",[0.11-0.28],GUSBP6,"Coronary artery disease","coronary artery disease",'-,GCST90132303,7:64114198
rs1537370-<b>?</b>,"7 x 10-6",,NR,'-,"0.0684 unit increase",[0.039-0.098],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22084311
rs10738606-<b>?</b>,"5 x 10-6",,NR,'-,"0.0701 unit decrease",[0.04-0.1],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22088091
rs10738607-<b>?</b>,"5 x 10-6",,NR,'-,"0.0701 unit decrease",[0.04-0.1],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22088095
rs10757272-<b>?</b>,"3 x 10-6",,NR,'-,"0.0722 unit increase",[0.042-0.102],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22088261
rs9644859-<b>?</b>,"1 x 10-5",,NR,'-,"0.0707 unit increase",[0.039-0.102],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22090522
rs9644860-<b>?</b>,"9 x 10-6",,NR,'-,"0.0709 unit increase",[0.04-0.102],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22090604
rs10811653-<b>?</b>,"1 x 10-5",,NR,'-,"0.0705 unit increase",[0.039-0.102],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22091070
rs7866503-<b>?</b>,"7 x 10-6",,NR,'-,"0.0714 unit increase",[0.04-0.103],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22091925
rs141014318-<b>?</b>,"8 x 10-7",,NR,'-,"0.0782 unit decrease",[0.047-0.109],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22092925
rs144858577-<b>?</b>,"3 x 10-6",,NR,'-,"0.0746 unit decrease",[0.043-0.106],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22093300
rs10757274-<b>?</b>,"8 x 10-7",,NR,'-,"0.0749 unit decrease",[0.045-0.105],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22096056
rs4977574-<b>?</b>,"5 x 10-7",,NR,'-,"0.0762 unit decrease",[0.046-0.106],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22098575
rs67452501-<b>?</b>,"3 x 10-7",,NR,'-,"0.0905 unit decrease",[0.056-0.125],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22120484
rs10217586-<b>?</b>,"2 x 10-6",,NR,'-,"0.0726 unit decrease",[0.042-0.103],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22121350
rs35831924-<b>?</b>,"1 x 10-6",,NR,'-,"0.0883 unit decrease",[0.052-0.124],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22122061
rs10738610-<b>?</b>,"2 x 10-6",,NR,'-,"0.0729 unit decrease",[0.043-0.103],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22123767
rs1333046-<b>?</b>,"3 x 10-6",,NR,'-,"0.071 unit increase",[0.041-0.101],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22124124
rs10757277-<b>?</b>,"5 x 10-6",,NR,'-,"0.0693 unit decrease",[0.04-0.099],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22124451
rs10757278-<b>?</b>,"6 x 10-6",,NR,'-,"0.0692 unit decrease",[0.039-0.099],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22124478
rs10757279-<b>?</b>,"5 x 10-6",,NR,'-,"0.0694 unit decrease",[0.04-0.099],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22124631
rs1333048-<b>?</b>,"3 x 10-6",,NR,'-,"0.0711 unit decrease",[0.041-0.101],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22125348
rs1333049-<b>?</b>,"3 x 10-6",,NR,'-,"0.0719 unit increase",[0.042-0.102],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22125504
chr11:83883996-<b>?</b>,"2 x 10-6",,NR,'-,"1.044 unit increase",[0.62-1.47],'-,"Coronary artery disease","coronary artery disease",'-,GCST90132303,"Mapping not available"
rs1558861-<b>?</b>,"3 x 10-8",,NR,'-,"0.1276 unit decrease",[0.083-0.172],"LINC02702, BUD13","Coronary artery disease","coronary artery disease",'-,GCST90132303,11:116736721
rs9326246-<b>?</b>,"2 x 10-8",,NR,'-,"0.1295 unit increase",[0.085-0.174],"LINC02702, BUD13","Coronary artery disease","coronary artery disease",'-,GCST90132303,11:116741017
rs10790162-<b>?</b>,"3 x 10-8",,NR,'-,"0.1274 unit increase",[0.082-0.173],BUD13,"Coronary artery disease","coronary artery disease",'-,GCST90132303,11:116768388
rs964184-<b>?</b>,"7 x 10-8",,NR,'-,"0.0931 unit decrease",[0.059-0.127],ZPR1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,11:116778201
rs6589566-<b>?</b>,"6 x 10-8",,NR,'-,"0.125 unit decrease",[0.08-0.17],ZPR1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,11:116781707
rs2075290-<b>?</b>,"2 x 10-7",,NR,'-,"0.1165 unit decrease",[0.073-0.16],ZPR1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,11:116782580
rs2266788-<b>?</b>,"8 x 10-8",,NR,'-,"0.1239 unit decrease",[0.079-0.169],APOA5,"Coronary artery disease","coronary artery disease",'-,GCST90132303,11:116789970
rs56833067-<b>?</b>,"5 x 10-6",,NR,'-,"0.1006 unit decrease",[0.057-0.144],DUOX2,"Coronary artery disease","coronary artery disease",'-,GCST90132303,15:45099257
rs953733-<b>?</b>,"5 x 10-6",,NR,'-,"0.1008 unit decrease",[0.058-0.144],DUOX2,"Coronary artery disease","coronary artery disease",'-,GCST90132303,15:45101469
rs57482502-<b>?</b>,"8 x 10-7",,NR,'-,"0.124 unit decrease",[0.075-0.173],DUOX2,"Coronary artery disease","coronary artery disease",'-,GCST90132303,15:45102270
rs269863-<b>?</b>,"5 x 10-6",,NR,'-,"0.0957 unit decrease",[0.055-0.137],DUOX2,"Coronary artery disease","coronary artery disease",'-,GCST90132303,15:45105368
rs73406330-<b>?</b>,"2 x 10-6",,NR,'-,"0.1034 unit increase",[0.06-0.146],DUOX2,"Coronary artery disease","coronary artery disease",'-,GCST90132303,15:45105633
rs57659670-<b>?</b>,"2 x 10-6",,NR,'-,"0.103 unit decrease",[0.06-0.146],DUOX2,"Coronary artery disease","coronary artery disease",'-,GCST90132303,15:45106240
rs269862-<b>?</b>,"2 x 10-6",,NR,'-,"0.1048 unit decrease",[0.062-0.148],DUOX2,"Coronary artery disease","coronary artery disease",'-,GCST90132303,15:45106767
rs2891168-<b>?</b>,"7 x 10-7",,NR,'-,"0.0753 unit decrease",[0.046-0.105],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22098620
rs1537371-<b>?</b>,"5 x 10-6",,NR,'-,"0.0709 unit increase",[0.041-0.101],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22099569
rs1556516-<b>?</b>,"4 x 10-6",,NR,'-,"0.0712 unit increase",[0.041-0.102],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22100177
rs7859727-<b>?</b>,"1 x 10-6",,NR,'-,"0.075 unit increase",[0.045-0.105],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22102166
rs1537373-<b>?</b>,"6 x 10-6",,NR,'-,"0.0704 unit decrease",[0.04-0.101],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22103342
rs1333042-<b>?</b>,"6 x 10-6",,NR,'-,"0.0703 unit decrease",[0.04-0.101],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22103814
rs7859362-<b>?</b>,"2 x 10-6",,NR,'-,"0.0748 unit decrease",[0.044-0.106],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22105928
rs10757275-<b>?</b>,"3 x 10-7",,NR,'-,"0.0786 unit increase",[0.049-0.109],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22106226
rs6475609-<b>?</b>,"2 x 10-6",,NR,'-,"0.0747 unit decrease",[0.044-0.105],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22106272
rs1333043-<b>?</b>,"2 x 10-6",,NR,'-,"0.0747 unit increase",[0.044-0.105],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22106732
rs1412834-<b>?</b>,"4 x 10-6",,NR,'-,"0.072 unit decrease",[0.041-0.103],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22110132
rs112917455-<b>?</b>,"6 x 10-6",,NR,'-,"0.082 unit decrease",[0.047-0.117],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132303,9:22111586
